分拣名称,分拣设备名称,格口数量,产能上限
A3分拣,分拣机1,330,100000
A84分拣,分拣机1,396,100000
A35分拣,分拣机1,555,100000
A27分拣,分拣机1,461,100000
A37分拣,分拣机2,321,200000
A80分拣,分拣机1,259,100000
A26分拣,分拣机3,25,6000
A30分拣,分拣机4,63,30000
A38分拣,分拣机5,24,5000
A55分拣,分拣机1,222,100000
A25分拣,分拣机4,29,20000
A20分拣,分拣机4,38,30000
A39分拣,分拣机6,63,30000
A64分拣,分拣机2,544,200000
A17分拣,分拣机2,458,200000
A68分拣,分拣机2,436,200000
A63分拣,分拣机4,57,30000
A15分拣,分拣机2,313,200000
A65分拣,分拣机4,133,45000
A87分拣,分拣机4,77,30000
A29分拣,分拣机4,78,30000
A92分拣,分拣机1,367,100000
A71分拣,分拣机4,79,30000
A82分拣,分拣机1,224,100000
A60分拣,分拣机4,70,30000
A58分拣,分拣机4,39,30000
A101分拣,分拣机2,380,200000
A6分拣,分拣机2,576,200000
A4分拣,分拣机1,348,100000
A76分拣,分拣机1,388,100000
A12分拣,分拣机6,102,30000
A90分拣,分拣机4,78,30000
A56分拣,分拣机4,78,30000
A61分拣,分拣机1,137,100000
A86分拣,分拣机1,381,100000
A42分拣,分拣机2,398,200000
A79分拣,分拣机4,84,30000
A36分拣,分拣机7,308,60000
A14分拣,分拣机1,416,100000
A88分拣,分拣机4,95,30000
A102分拣,分拣机2,433,200000
A10分拣,分拣机2,436,200000
A62分拣,分拣机1,202,100000
A66分拣,分拣机1,187,100000
A45分拣,分拣机2,343,200000
A5分拣,分拣机2,497,200000
A104分拣,分拣机2,456,200000
A34分拣,分拣机4,95,30000
A95分拣,分拣机2,599,200000
A57分拣,分拣机1,216,100000
A93分拣,分拣机4,71,30000
A47分拣,分拣机1,367,100000
A28分拣,分拣机2,476,200000
A74分拣,分拣机2,408,200000
A81分拣,分拣机4,61,30000
A59分拣,分拣机8,274,75000
A78分拣,分拣机4,89,30000
A21分拣,分拣机2,391,200000
A43分拣,分拣机1,299,100000
A9分拣,分拣机4,80,30000
A98分拣,分拣机7,178,60000
A2分拣,分拣机2,698,200000
A11分拣,分拣机1,362,100000
A32分拣,分拣机4,76,30000
A31分拣,分拣机4,97,0
A40分拣,分拣机4,119,30000
A24分拣,分拣机2,375,200000
A16分拣,分拣机2,506,200000
A50分拣,分拣机1,379,100000
A75分拣,分拣机4,96,25000
A72分拣,分拣机1,465,100000
A91分拣,分拣机1,314,100000
A33分拣,分拣机4,133,45000
A41分拣,分拣机6,94,30000
A18分拣,分拣机2,554,200000
A77分拣,分拣机2,271,200000
A96分拣,分拣机4,78,30000
A52分拣,分拣机4,92,30000
A73分拣,分拣机1,469,100000
A8分拣,分拣机4,40,30000
A13分拣,分拣机1,326,100000
A100分拣,分拣机6,73,30000
A1分拣,分拣机1,551,100000
A19分拣,分拣机2,608,200000
A69分拣,分拣机1,270,100000
A85分拣,分拣机4,79,30000
A46分拣,分拣机2,421,200000
A49分拣,分拣机2,370,200000
A22分拣,分拣机1,263,100000
A51分拣,分拣机2,618,200000
A44分拣,分拣机6,78,30000
A48分拣,分拣机4,85,30000
A67分拣,分拣机4,80,30000